image,status,conflict_method,docling_easyocr_preprocessed__chars,docling_qwen3-vlm-4B_preprocessed__chars,charsim__docling_easyocr_preprocessed__vs__docling_qwen3-vlm-4B_preprocessed,jaccard__docling_easyocr_preprocessed__vs__docling_qwen3-vlm-4B_preprocessed,min_charsim,mean_charsim,min_jaccard,mean_jaccard
pages-75-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2340,2859,0.1681,0.4855,0.1681,0.1681,0.4855,0.4855
pages-75-b,BLANK,,0,221,0.0,0.0,0.0,0.0,0.0,0.0
pages-76-a,MISSING,docling_easyocr_preprocessed,0,116,0.0,0.0,0.0,0.0,0.0,0.0
pages-76-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2918,3801,0.1206,0.5082,0.1206,0.1206,0.5082,0.5082
pages-77-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2850,4046,0.2819,0.3766,0.2819,0.2819,0.3766,0.3766
pages-77-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2279,3623,0.1034,0.3539,0.1034,0.1034,0.3539,0.3539
pages-78-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3020,3828,0.2331,0.4142,0.2331,0.2331,0.4142,0.4142
pages-78-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2034,2693,0.1409,0.4023,0.1409,0.1409,0.4023,0.4023
pages-79-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3092,4016,0.2757,0.4814,0.2757,0.2757,0.4814,0.4814
pages-79-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1855,2425,0.2028,0.3725,0.2028,0.2028,0.3725,0.3725
pages-80-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2178,3602,0.1197,0.381,0.1197,0.1197,0.381,0.381
pages-80-b,MISSING,docling_easyocr_preprocessed,0,28712,0.0,0.0,0.0,0.0,0.0,0.0
pages-81-a,MISSING,docling_easyocr_preprocessed,0,139,0.0,0.0,0.0,0.0,0.0,0.0
pages-81-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2801,3787,0.0489,0.4043,0.0489,0.0489,0.4043,0.4043
pages-82-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1416,1532,0.3501,0.7711,0.3501,0.3501,0.7711,0.7711
pages-82-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1644,2056,0.1005,0.4719,0.1005,0.1005,0.4719,0.4719
pages-83-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1633,2019,0.1501,0.4224,0.1501,0.1501,0.4224,0.4224
pages-83-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1200,1873,0.0436,0.3555,0.0436,0.0436,0.3555,0.3555
pages-84-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1770,2075,0.2034,0.5084,0.2034,0.2034,0.5084,0.5084
pages-84-b,MISSING,docling_easyocr_preprocessed,11,51,0.0,0.0,0.0,0.0,0.0,0.0
pages-85-a,BLANK,,0,261,0.0,0.0,0.0,0.0,0.0,0.0
pages-85-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1775,1952,0.5114,0.5404,0.5114,0.5114,0.5404,0.5404
pages-86-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1476,2186,0.2938,0.4007,0.2938,0.2938,0.4007,0.4007
pages-86-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,974,2127,0.0284,0.2351,0.0284,0.0284,0.2351,0.2351
pages-87-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2906,3560,0.2147,0.5561,0.2147,0.2147,0.5561,0.5561
pages-87-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2128,3250,0.2142,0.3881,0.2142,0.2142,0.3881,0.3881
pages-88-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3134,3920,0.3944,0.4564,0.3944,0.3944,0.4564,0.4564
pages-88-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1747,2387,0.1321,0.4181,0.1321,0.1321,0.4181,0.4181
pages-89-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2579,3631,0.2383,0.4313,0.2383,0.2383,0.4313,0.4313
pages-89-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1907,3399,0.0645,0.341,0.0645,0.0645,0.341,0.341
pages-90-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2616,3408,0.2085,0.4805,0.2085,0.2085,0.4805,0.4805
pages-90-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2853,3627,0.4694,0.492,0.4694,0.4694,0.492,0.492
pages-91-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3030,3639,0.1466,0.5578,0.1466,0.1466,0.5578,0.5578
pages-91-b,BLANK,,0,257,0.0,0.0,0.0,0.0,0.0,0.0
pages-92-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,55,72,0.8189,0.4211,0.8189,0.8189,0.4211,0.4211
pages-92-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,80,92,0.5116,0.5455,0.5116,0.5116,0.5455,0.5455
pages-93-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,23,33,0.75,0.4,0.75,0.75,0.4,0.4
pages-93-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2679,3124,0.3129,0.5935,0.3129,0.3129,0.5935,0.5935
pages-94-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3325,3732,0.1627,0.6675,0.1627,0.1627,0.6675,0.6675
pages-94-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2669,3106,0.5555,0.601,0.5555,0.5555,0.601,0.601
pages-95-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2984,4071,0.1279,0.4313,0.1279,0.1279,0.4313,0.4313
pages-95-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2037,3505,0.4749,0.3712,0.4749,0.4749,0.3712,0.3712
pages-96-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2508,3205,0.5276,0.4648,0.5276,0.5276,0.4648,0.4648
pages-96-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1943,3225,0.0906,0.374,0.0906,0.0906,0.374,0.374
pages-97-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2496,2829,0.2757,0.5589,0.2757,0.2757,0.5589,0.5589
pages-97-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2178,2937,0.1024,0.5044,0.1024,0.1024,0.5044,0.5044
pages-98-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2165,3435,0.2118,0.3484,0.2118,0.2118,0.3484,0.3484
pages-98-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2187,3189,0.1142,0.484,0.1142,0.1142,0.484,0.484
pages-100-a,MISSING,docling_easyocr_preprocessed,0,136,0.0,0.0,0.0,0.0,0.0,0.0
pages-100-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3548,4082,0.1649,0.4752,0.1649,0.1649,0.4752,0.4752
pages-101-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1427,2182,0.0316,0.4091,0.0316,0.0316,0.4091,0.4091
pages-101-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2098,3882,0.2545,0.3116,0.2545,0.2545,0.3116,0.3116
pages-102-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2907,3625,0.1681,0.4344,0.1681,0.1681,0.4344,0.4344
pages-102-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3143,3938,0.2438,0.4671,0.2438,0.2438,0.4671,0.4671
pages-103-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2111,2883,0.3616,0.4306,0.3616,0.3616,0.4306,0.4306
pages-103-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2555,3141,0.0397,0.4933,0.0397,0.0397,0.4933,0.4933
pages-104-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,825,2095,0.1178,0.1828,0.1178,0.1178,0.1828,0.1828
pages-104-b,MISSING,docling_easyocr_preprocessed,0,25,0.0,0.0,0.0,0.0,0.0,0.0
pages-105-a,BLANK,,0,245,0.0,0.0,0.0,0.0,0.0,0.0
pages-105-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1498,1803,0.0842,0.5932,0.0842,0.0842,0.5932,0.5932
pages-106-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,542,866,0.0483,0.2014,0.0483,0.0483,0.2014,0.2014
pages-106-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2573,3047,0.1456,0.5625,0.1456,0.1456,0.5625,0.5625
pages-107-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1615,2191,0.0988,0.3493,0.0988,0.0988,0.3493,0.3493
pages-107-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1948,3397,0.1175,0.3106,0.1175,0.1175,0.3106,0.3106
pages-108-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2543,3358,0.179,0.4439,0.179,0.179,0.4439,0.4439
pages-108-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2061,2729,0.1637,0.3791,0.1637,0.1637,0.3791,0.3791
pages-109-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3027,3596,0.2485,0.5033,0.2485,0.2485,0.5033,0.5033
pages-109-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1165,1990,0.1084,0.2616,0.1084,0.1084,0.2616,0.2616
pages-110-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1980,3336,0.1178,0.3443,0.1178,0.1178,0.3443,0.3443
pages-110-b,MATCH,,13,13,1.0,1.0,1.0,1.0,1.0,1.0
pages-111-a,BLANK,,0,83,0.0,0.0,0.0,0.0,0.0,0.0
pages-111-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1321,1502,0.0298,0.5522,0.0298,0.0298,0.5522,0.5522
pages-112-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,132,210,0.1754,0.0732,0.1754,0.1754,0.0732,0.0732
pages-112-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2522,2976,0.1983,0.4915,0.1983,0.1983,0.4915,0.4915
pages-113-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1768,2734,0.179,0.3096,0.179,0.179,0.3096,0.3096
pages-113-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2007,3593,0.0575,0.2942,0.0575,0.0575,0.2942,0.2942
pages-114-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2584,3237,0.3625,0.4696,0.3625,0.3625,0.4696,0.4696
pages-114-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1834,3067,0.0767,0.2887,0.0767,0.0767,0.2887,0.2887
pages-115-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2920,3424,0.0429,0.4471,0.0429,0.0429,0.4471,0.4471
pages-115-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2285,2841,0.2439,0.4506,0.2439,0.2439,0.4506,0.4506
pages-116-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3100,4054,0.0428,0.4283,0.0428,0.0428,0.4283,0.4283
pages-116-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1771,2962,0.049,0.2743,0.049,0.049,0.2743,0.2743
pages-117-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3159,4282,0.2312,0.3914,0.2312,0.2312,0.3914,0.3914
pages-117-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2190,3330,0.0656,0.3436,0.0656,0.0656,0.3436,0.3436
pages-118-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2085,2855,0.2061,0.4247,0.2061,0.2061,0.4247,0.4247
pages-118-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2401,3548,0.1493,0.4172,0.1493,0.1493,0.4172,0.4172
pages-119-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1750,3176,0.2489,0.253,0.2489,0.2489,0.253,0.253
pages-119-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1793,3852,0.067,0.2318,0.067,0.067,0.2318,0.2318
pages-120-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2411,3249,0.1042,0.3939,0.1042,0.1042,0.3939,0.3939
pages-120-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1901,3243,0.1788,0.309,0.1788,0.1788,0.309,0.309
pages-121-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2756,3327,0.1867,0.4877,0.1867,0.1867,0.4877,0.4877
pages-121-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2868,3958,0.2274,0.4283,0.2274,0.2274,0.4283,0.4283
pages-122-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2632,3909,0.1899,0.3543,0.1899,0.1899,0.3543,0.3543
pages-122-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1854,2986,0.0831,0.3309,0.0831,0.0831,0.3309,0.3309
pages-123-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2211,3462,0.1072,0.3713,0.1072,0.1072,0.3713,0.3713
pages-123-b,MISSING,docling_easyocr_preprocessed,0,298,0.0,0.0,0.0,0.0,0.0,0.0
pages-124-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,60,58,0.4746,0.2143,0.4746,0.4746,0.2143,0.2143
pages-124-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,49,54,0.6602,0.0833,0.6602,0.6602,0.0833,0.0833
pages-125-a,MISSING,docling_easyocr_preprocessed,0,72,0.0,0.0,0.0,0.0,0.0,0.0
pages-125-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1579,3090,0.1868,0.3396,0.1868,0.1868,0.3396,0.3396
pages-126-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2902,3535,0.1209,0.4605,0.1209,0.1209,0.4605,0.4605
pages-126-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2667,3671,0.2581,0.47,0.2581,0.2581,0.47,0.47
pages-127-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1372,2363,0.0814,0.2569,0.0814,0.0814,0.2569,0.2569
pages-127-b,MATCH,,23,23,1.0,1.0,1.0,1.0,1.0,1.0
pages-128-a,BLANK,,0,83,0.0,0.0,0.0,0.0,0.0,0.0
pages-128-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1579,1720,0.0703,0.74,0.0703,0.0703,0.74,0.74
pages-129-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2653,3239,0.0988,0.4234,0.0988,0.0988,0.4234,0.4234
pages-129-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2548,3550,0.3135,0.4487,0.3135,0.3135,0.4487,0.4487
pages-130-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2193,3059,0.519,0.4119,0.519,0.519,0.4119,0.4119
pages-130-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1316,2944,0.016,0.2596,0.016,0.016,0.2596,0.2596
pages-131-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2105,2729,0.1547,0.3681,0.1547,0.1547,0.3681,0.3681
pages-131-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1684,3373,0.2037,0.289,0.2037,0.2037,0.289,0.289
pages-132-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1930,2854,0.2947,0.3846,0.2947,0.2947,0.3846,0.3846
pages-132-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2226,3519,0.1239,0.3395,0.1239,0.1239,0.3395,0.3395
pages-133-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1913,3978,0.2417,0.3043,0.2417,0.2417,0.3043,0.3043
pages-133-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,491,2793,0.0408,0.0652,0.0408,0.0408,0.0652,0.0652
pages-134-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2783,3778,0.1619,0.4605,0.1619,0.1619,0.4605,0.4605
pages-134-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1981,3801,0.2449,0.3099,0.2449,0.2449,0.3099,0.3099
pages-135-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2662,3384,0.3205,0.5057,0.3205,0.3205,0.5057,0.5057
pages-135-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2680,4103,0.3105,0.3687,0.3105,0.3105,0.3687,0.3687
pages-136-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1716,3025,0.1658,0.2823,0.1658,0.1658,0.2823,0.2823
pages-136-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,854,2589,0.1156,0.2432,0.1156,0.1156,0.2432,0.2432
pages-137-a,MISSING,docling_qwen3-vlm-4B_preprocessed,1995,0,0.0,0.0,0.0,0.0,0.0,0.0
pages-137-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1717,1934,0.1906,0.5094,0.1906,0.1906,0.5094,0.5094
pages-138-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2811,3162,0.2491,0.4924,0.2491,0.2491,0.4924,0.4924
pages-138-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2326,3062,0.1823,0.4231,0.1823,0.1823,0.4231,0.4231
pages-139-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1571,3194,0.2141,0.2439,0.2141,0.2141,0.2439,0.2439
pages-139-b,MATCH,,23,23,1.0,1.0,1.0,1.0,1.0,1.0
pages-140-a,BLANK,,0,160,0.0,0.0,0.0,0.0,0.0,0.0
pages-140-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1154,1245,0.511,0.7078,0.511,0.511,0.7078,0.7078
pages-141-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2578,3109,0.5145,0.519,0.5145,0.5145,0.519,0.519
pages-141-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2142,2870,0.3803,0.4194,0.3803,0.3803,0.4194,0.4194
pages-142-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1778,2880,0.0833,0.3233,0.0833,0.0833,0.3233,0.3233
pages-142-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1342,2795,0.1586,0.2906,0.1586,0.1586,0.2906,0.2906
pages-143-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2728,3934,0.2008,0.3926,0.2008,0.2008,0.3926,0.3926
pages-143-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2459,4355,0.0977,0.3616,0.0977,0.0977,0.3616,0.3616
pages-144-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2391,3070,0.1274,0.4159,0.1274,0.1274,0.4159,0.4159
pages-144-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1621,3247,0.1113,0.301,0.1113,0.1113,0.301,0.301
pages-145-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2144,67315,0.004,0.2635,0.004,0.004,0.2635,0.2635
pages-145-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2221,4106,0.2162,0.3609,0.2162,0.2162,0.3609,0.3609
pages-146-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1716,2446,0.1634,0.3474,0.1634,0.1634,0.3474,0.3474
pages-146-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,16,16,0.75,0.5,0.75,0.75,0.5,0.5
pages-147-a,BLANK,,0,255,0.0,0.0,0.0,0.0,0.0,0.0
pages-147-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,696,806,0.4594,0.7048,0.4594,0.4594,0.7048,0.7048
pages-148-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1453,1930,0.2034,0.5094,0.2034,0.2034,0.5094,0.5094
pages-148-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,765,1178,0.2131,0.3056,0.2131,0.2131,0.3056,0.3056
pages-149-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2935,3688,0.1655,0.5145,0.1655,0.1655,0.5145,0.5145
pages-149-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2347,3567,0.4011,0.367,0.4011,0.4011,0.367,0.367
